genome_idx,true_bp_num,noise_lv,rh_ok,rh_pred_cand,m0,m1,m2,delta_1,delta_2,pred_bp_num,is_recombinant_true,is_recombinant_pred,correct_model,pred_bp1,ci1_left,ci1_right,pred_bp2,ci2_left,ci2_right,bp1_in_interval,bp2_in_interval,both_in_interval,spatial_err_bp1,spatial_err_bp2,mean_spatial_err_nt,runtime_ms
153,1,0,True,BA.2 + AY.45,43,84,83,41,-1,1,True,True,True,23001.0,22991.0,23011.0,,,,True,False,False,0.0,,0.0,2.1
154,1,0,True,BA.2 + AY.45,50,84,83,34,-1,1,True,True,True,23600.0,23598.0,23602.0,,,,True,False,False,0.0,,0.0,2.04
155,1,0,True,BA.2 + AY.45,6,84,83,78,-1,1,True,True,True,5400.0,4401.0,6400.0,,,,True,False,False,0.0,,0.0,1.97
156,1,0,True,BA.2 + AY.45,76,84,83,8,-1,1,True,True,True,28384.0,28310.0,28459.0,,,,True,False,False,0.0,,0.0,2.0
157,1,0,True,BA.2 + AY.45,32,84,83,52,-1,1,True,True,True,22388.0,22199.0,22576.0,,,,True,False,False,0.0,,0.0,2.0
158,1,0,True,BA.2 + AY.45,58,84,83,26,-1,1,True,True,True,25440.0,25412.0,25467.0,,,,True,False,False,0.0,,0.0,1.99
159,1,0,True,BA.2 + AY.45,54,84,83,30,-1,1,True,True,True,24416.0,24409.0,24422.0,,,,True,False,False,0.0,,0.0,2.01
160,1,0,True,BA.2 + AY.45,57,84,83,27,-1,1,True,True,True,25205.0,24999.0,25411.0,,,,True,False,False,0.0,,0.0,1.99
161,1,0,True,BA.2 + AY.45,11,84,83,73,-1,1,True,True,True,9382.0,9343.0,9422.0,,,,True,False,False,0.0,,0.0,1.97
162,1,0,True,BA.2 + AY.45,30,84,83,54,-1,1,True,True,True,21801.0,21617.0,21985.0,,,,True,False,False,0.0,,0.0,1.97
163,1,0,True,BA.2 + AY.45,14,84,83,70,-1,1,True,True,True,10030.0,9865.0,10196.0,,,,True,False,False,0.0,,0.0,2.06
164,1,0,True,BA.2 + AY.45,18,84,83,66,-1,1,True,True,True,11265.0,11200.0,11330.0,,,,True,False,False,0.0,,0.0,1.99
165,1,0,True,BA.2 + AY.45,34,84,83,50,-1,1,True,True,True,22675.0,22673.0,22677.0,,,,True,False,False,0.0,,0.0,2.02
166,1,0,True,BA.2 + AY.45,14,84,83,70,-1,1,True,True,True,10030.0,9865.0,10196.0,,,,True,False,False,0.0,,0.0,2.0
167,1,0,True,BA.2 + AY.45,54,84,83,30,-1,1,True,True,True,24416.0,24409.0,24422.0,,,,True,False,False,0.0,,0.0,2.0
168,1,0,True,BA.2 + AY.45,14,84,83,70,-1,1,True,True,True,10030.0,9865.0,10196.0,,,,True,False,False,0.0,,0.0,1.98
169,1,0,True,BA.2 + AY.45,32,84,83,52,-1,1,True,True,True,22388.0,22199.0,22576.0,,,,True,False,False,0.0,,0.0,1.98
170,1,0,True,BA.2 + AY.45,36,84,83,48,-1,1,True,True,True,22686.0,22685.0,22686.0,,,,True,False,False,0.0,,0.0,2.0
171,1,0,True,BA.2 + AY.45,62,84,83,22,-1,1,True,True,True,26422.0,26269.0,26575.0,,,,True,False,False,0.0,,0.0,2.01
172,1,0,True,BA.2 + AY.45,57,84,83,27,-1,1,True,True,True,25205.0,24999.0,25411.0,,,,True,False,False,0.0,,0.0,1.99
173,1,0,True,BA.2 + AY.45,13,84,83,71,-1,1,True,True,True,9698.0,9533.0,9864.0,,,,True,False,False,0.0,,0.0,1.97
